#volt mean standard_deviation spread
0.02428560224083038 0.0006388204485377367 0.00016004939727003498 0.25053893881510664
0.021557937789977347 0.0005859132778253046 0.0001572786635532234 0.2684333492782143
0.029738434221220102 0.0007013700011475507 0.00018275612992400437 0.26057021204925623
0.021773650392980556 0.0005928945719812658 0.00015624504560017495 0.2635292225362319
0.02770305311169123 0.0006893820468285946 0.00017152317463985133 0.24880713884111086
0.031560051782654606 0.00070592995065614 0.0001963474032314725 0.27814006623316334
0.030690576987857987 0.0007065720764534006 0.00018426695634288643 0.2607900347092744
0.02814233155249665 0.0006911172709325597 0.0001737664582194784 0.2514283255937252
0.022405358460037023 0.0006025971352135748 0.0001592794500857455 0.26432161850436453
0.025491886270632202 0.0006587608928859893 0.00016239233779474796 0.2465118065574863
0.020648187498110204 0.0005625237926148164 0.00015520467097530972 0.27590774472642593
0.02641589794421109 0.000669990719827232 0.00016915289903778323 0.2524705104593121
0.026129861020173523 0.0006700254943894146 0.00016530475387325233 0.2467141254436779
0.029292594666275942 0.0006972587717514222 0.00018116052720338537 0.2598182117498988
0.023924274783111054 0.0006290416377829442 0.00016226201478764364 0.25795115146834435
0.028117377000552096 0.0006864354860337866 0.00017904088624124586 0.26082696755049956
0.028589622930581197 0.0006942392527116818 0.00017283510566366256 0.24895611273573598
0.024758459934852442 0.000644512971773026 0.0001655651136255802 0.25688406731383245
0.02983518193414691 0.0007091028652643897 0.0001816297210122882 0.25614015950220054
0.029501429238485134 0.0007022020114313248 0.00017888870584145902 0.25475390689471744
0.029017596718109575 0.0006919685866199111 0.00018554812407516687 0.26814529974766893
0.029793791550114926 0.0007045017115745322 0.00018069525902682256 0.2564866146641094
0.028968808404060343 0.0006926716800039889 0.00017996714040272263 0.2598159353096206
0.025839938404018974 0.0006600644406114251 0.00017124356686654634 0.2594346193046265
0.029793250302939413 0.0007046557795966728 0.00018153109033230435 0.25761669113990404
0.029685819741516246 0.0007034450502085639 0.000179257622826439 0.2548281813530297
0.026242103700626546 0.0006665782719217612 0.00016642044594935494 0.24966377237223888
0.027311551766522443 0.000681500417405151 0.00017351125045323617 0.2546018256509504
0.025441134252157924 0.0006586948891887339 0.00016265520544699884 0.24693558143031794
0.026730692494328166 0.0006737416620758754 0.00017276088628467856 0.25642007316629706
0.028117377000552096 0.0006864354860337866 0.00017904088624124586 0.26082696755049956
0.028117387000552097 0.0006864533382306929 0.00017885962815639747 0.26055613425582763
0.0112977058135904 0.0003505264505836526 0.00012739805608830105 0.3634477679963204
0.01707626590554994 0.0004887850341162558 0.00014439058818116793 0.29540713831844767
0.012700043920234551 0.0003878689814463783 0.0001322137518220256 0.34087219691813314
0.015240706287928877 0.0004443221999770203 0.00014180458662853824 0.3191481016160619
0.01937660339638116 0.0005385076580809149 0.00015210649638996903 0.2824593004527224
0.017377700961250415 0.0004937043720745349 0.00014500836289293908 0.29371496607092445
0.011518914717493459 0.00035904181273541623 0.000127495904073401 0.3551004355232431
0.010170766440207455 0.0003298698912343666 0.00012051073204626209 0.36532807403341155
0.01868488472195029 0.0005271965954462706 0.000148092440359221 0.28090553246813194
0.015674571177977978 0.00045497752801668736 0.00014433235463708443 0.31722963388158965
0.016362484533036552 0.0004746951041735062 0.00014238404663111226 0.29994842032132973
0.014513896280381368 0.00042717920239093287 0.00013780580811177228 0.3225948438979933
0.018326525920659475 0.0005176785281031725 0.00014769671758435625 0.2853058598461332
0.013341436415709472 0.00039784027887537326 0.00013721878416644062 0.34490922979024335
0.012193770657845186 0.0003724456115819773 0.00013251919638325034 0.355808183160945
0.011679118671880522 0.0003643667817882046 0.0001291395236085978 0.3544217806431726
0.0129622115131086 0.0003933562415173026 0.00013428461870782705 0.34138169052522904
0.01179981208528294 0.0003672853575284507 0.00013032321979727685 0.35482824764442655
0.016549809048050375 0.000475331494999369 0.0001465805470787811 0.3083754150963123
0.01138819679780066 0.0003588349245533513 0.00012405504330299767 0.3457161909683439
0.010493297700962648 0.00033655906024108025 0.0001224138683974736 0.3637218035663264
0.013330694939374456 0.0004039833567159384 0.00013523920863807592 0.33476430746420477
0.013436840567469159 0.00040386102648318206 0.00013441511736442816 0.33282517636057557
0.011820243996891827 0.00036502358801224764 0.00013024431598574534 0.3568106836464915
0.014240794248774967 0.00041866136518910283 0.00013981235555649834 0.3339509378739719
0.01979661266285977 0.0005500771406416354 0.00015089739601547363 0.2743204268395155
0.011261055853664562 0.000354162601089932 0.00012550923935140889 0.3543830968181152
0.010533092619206461 0.0003367269127969228 0.000122227582475004 0.36298726900014205
0.019717651141794076 0.0005445090869811335 0.00015388851854655078 0.2826188253344665
0.014088343614296431 0.000419420715981283 0.0001372770944661901 0.32730165496240343
0.011679118671880522 0.0003643667817882046 0.0001291395236085978 0.3544217806431726
0.011679128671880522 0.0003642188226883063 0.0001292632117367522 0.3549053582202531
0.04605379079105952 0.0006780931422095488 0.0002634799441142803 0.38856010732646223
0.03366349610120255 0.0007156657561290327 0.0002066483132443171 0.28874975709618683
