#acc_paschen_factor density_factor volt density pressure N_great N_less
1.3235898150163783 0.016978046099328056 0.02312688936003314 2.716487375892489e-06 0.016150040786895095 0 9447
1.1956152526900485 0.015325896214569076 0.019221719603138974 2.4521433943310525e-06 0.0145784648900681 0 7260
1.451136607996753 0.010136800053044537 0.01673420327626386 1.6218880084871261e-06 0.009642436670716119 0 10302
1.247253964101993 0.014094612331412109 0.01873664664063929 2.2551379730259376e-06 0.013407229706885354 0 8777
1.1260104802404347 0.00438941057185664 0.006782899758324288 7.023056914970625e-07 0.004175342636672358 0 10005
1.754517847170955 0.013384100915537558 0.02527862047384845 2.1414561464860094e-06 0.012731369347053798 0 9879
1.8217003016330264 0.01764219620945365 0.03284245153885388 2.8227513935125846e-06 0.016781800843641184 0 10105
1.4800677745804351 0.012453467689986817 0.020122108993950727 1.992554830397891e-06 0.011846122336746822 0 10492
1.8782714169401735 0.0008608623989391877 0.003708281297532292 1.3773798383027004e-07 0.0008188788493937755 9435 612
1.5488019980677734 0.010806769533128256 0.01879507932880149 1.7290831253005211e-06 0.010279732291544668 0 10259
1.2056654331025496 0.0037356486638010214 0.006436940816401058 5.977037862081635e-07 0.0035534641579447936 0 10220
1.682933294271658 0.015503759220360822 0.027310869672189445 2.4806014752577318e-06 0.01474765366368853 0 10391
1.594005752259379 0.0023368435857328354 0.006052601850193623 3.738949737172537e-07 0.0022228776504307594 0 9339
1.7132314811322433 0.005078484078994946 0.011525997262391657 8.125574526391915e-07 0.004830810596904422 0 9022
1.845157790788554 0.006114840177774111 0.014314157255915456 9.78374428443858e-07 0.005816624463064994 0 8735
1.5068334455418277 0.005367970897515141 0.010575761561688116 8.588753436024226e-07 0.0051061793819234865 0 9485
1.9544322336089572 0.00015374734525672694 0.002373977361156215 2.4599575241076312e-08 0.00014624921396998996 10011 4
1.7859193171913725 0.019520889869117698 0.03497629866806845 3.123342379058832e-06 0.018568872162222205 0 10198
1.033186811074915 0.009181632630103619 0.01101459312485852 1.4690612208165791e-06 0.008733851975600948 0 6705
1.429215635140038 0.01819158739200031 0.026420214928830413 2.9106539827200497e-06 0.017304398671104983 0 10295
1.0437243016689919 0.011510049460801757 0.013320688272046508 1.8416079137282813e-06 0.010948713836893468 0 5468
1.649222666798937 0.01605244371975196 0.02753094920508777 2.5683909951603136e-06 0.015269579272351749 0 10373
1.1586590942393924 0.008368203401125965 0.011480037232740783 1.3389125441801546e-06 0.007960093019571159 0 9064
1.2813087518419006 0.0028545816950113845 0.005615163982209122 4.5673307120182154e-07 0.002715366098916563 0 9565
1.3816036659844024 0.001782777030146546 0.0043455192901067355 2.8524432482344736e-07 0.001695832464016335 5 10186
1.365205827841849 0.006791686721549113 0.011488265333825503 1.086669875447858e-06 0.006460461758857696 0 10100
