#volt Paschen_fac density pressure mean standard_deviation spread N_less
0.03383512587087426 1.8671253184364258 2.840603832226771e-06 0.016887937031108254 0.0003080022623464157 0.00012287500022989427 0.3989418756012076 9879.0
0.04456911316898184 2.240635460445243 3.183108556392314e-06 0.0189241936005541 0.0003575723839575818 0.00013017916456289862 0.36406381030348683 9125.0
0.015080540244415793 1.0279330700862368 2.1900002807269393e-06 0.013019973577249403 0.00018664883663942495 9.438612481381968e-05 0.5056882566922088 3917.0
0.02608475397885109 2.687289688906586 1.3044268443053693e-06 0.007755068890070308 0.00047897678478223 0.0001442599085789752 0.3011835086006599 7590.0
0.011776780739834904 2.5154395438944475 5.001638130595263e-07 0.0029735702262877048 0.000493976701832154 0.0001908459073106996 0.38634596855044834 7237.0
0.022899050234552323 2.8396801412105734 1.0286039969091593e-06 0.006115248924427062 0.0005226332323789601 0.00014637042107679116 0.28006336376761115 7314.0
0.040879842585890246 2.431901402653115 2.5904542190111093e-06 0.015400749388672898 0.0003924396833231362 0.0001350280267013083 0.3440733249958459 8446.0
0.015045888431035733 1.1439243407773305 1.912120068580324e-06 0.011367922181809195 0.00021191937864434038 0.00010236874670214796 0.483055147466958 7466.0
0.029838229392745153 2.7580350311438524 1.4965868154580213e-06 0.008897496938610128 0.00047712833806964504 0.00014289089679533847 0.2994810523588752 7569.0
0.024702521483776923 1.6424420158329154 2.2584430555979077e-06 0.013426879059507077 0.0002851665240753902 0.00011801808432592541 0.41385672707756077 10166.0
0.030131835063639548 2.6324389394167023 1.6067965377657166e-06 0.00955271496987261 0.0004547404947000612 0.00014143068474665137 0.31101405393847 7662.0
0.019187287222355406 1.8331631854124262 1.4353368872945048e-06 0.008533354315745853 0.00034262032743118695 0.00012753827566036507 0.3722437504411652 9266.0
0.027584171894673784 1.7200105313721232 2.4446963267157997e-06 0.014534190638401612 0.0002930173442740451 0.00012058563102321666 0.4115306939320243 10138.0
0.023948259362816773 1.9729154455502491 1.729667835925678e-06 0.010283208508857 0.0003506895395135668 0.00012976906199326492 0.3700397285110486 9072.0
0.006442541576459511 2.009833868212037 2.932609550804111e-07 0.0017434928753152776 0.0022237703548591806 0.0010052590180744624 0.4520516319852281 9974.0
0.021328082007888712 2.892022971678745 9.161582006187436e-07 0.00544673700255278 0.0005441855808488543 0.00014636601769653793 0.26896342506581516 7076.0
0.002978354272598051 2.0930084114807013 7.36968287270623e-08 0.00043814184463708073 0.008202091898886354 0.0007060348833237828 0.086079855240301 34.0
0.013369673285382565 1.540664497392126 1.130463617255453e-06 0.006720823990863665 0.0003040041851335518 0.00012255018466668675 0.40312005774805154 10055.0
0.04839773282068538 2.990105579207255 2.4726636761338223e-06 0.014700461918662587 0.0004708216249649152 0.00014173789009383058 0.30104371290165916 7589.0
0.009761550422344374 1.489650849941555 7.849419133709155e-07 0.004666630895760686 0.00032181514902483656 0.00012440359469333885 0.3865684852633765 9570.0
