#acc_paschen_factor density_factor volt density pressure N_great N_less
1.8671253184364258 0.017753773951417317 0.03383512587087426 2.840603832226771e-06 0.016887937031108254 0 9879
2.240635460445243 0.019894428477451962 0.04456911316898184 3.183108556392314e-06 0.0189241936005541 0 9125
1.0279330700862368 0.013687501754543368 0.015080540244415793 2.1900002807269393e-06 0.013019973577249403 0 3917
2.687289688906586 0.008152667776908557 0.02608475397885109 1.3044268443053693e-06 0.007755068890070308 0 7590
2.5154395438944475 0.003126023831622039 0.011776780739834904 5.001638130595263e-07 0.0029735702262877048 0 7237
2.8396801412105734 0.006428774980682245 0.022899050234552323 1.0286039969091593e-06 0.006115248924427062 0 7314
2.431901402653115 0.01619033886881943 0.040879842585890246 2.5904542190111093e-06 0.015400749388672898 0 8446
1.1439243407773305 0.011950750428627024 0.015045888431035733 1.912120068580324e-06 0.011367922181809195 0 7466
2.7580350311438524 0.009353667596612632 0.029838229392745153 1.4965868154580213e-06 0.008897496938610128 0 7569
1.6424420158329154 0.014115269097486923 0.024702521483776923 2.2584430555979077e-06 0.013426879059507077 0 10166
2.6324389394167023 0.010042478361035728 0.030131835063639548 1.6067965377657166e-06 0.00955271496987261 0 7662
1.8331631854124262 0.008970855545590654 0.019187287222355406 1.4353368872945048e-06 0.008533354315745853 0 9266
1.7200105313721232 0.015279352041973747 0.027584171894673784 2.4446963267157997e-06 0.014534190638401612 0 10138
1.9729154455502491 0.010810423974535487 0.023948259362816773 1.729667835925678e-06 0.010283208508857 0 9072
2.009833868212037 0.001832880969252569 0.006442541576459511 2.932609550804111e-07 0.0017434928753152776 10 9974
2.892022971678745 0.005725988753867147 0.021328082007888712 9.161582006187436e-07 0.00544673700255278 0 7076
2.0930084114807013 0.0004606051795441393 0.002978354272598051 7.36968287270623e-08 0.00043814184463708073 9993 34
1.540664497392126 0.00706539760784658 0.013369673285382565 1.130463617255453e-06 0.006720823990863665 0 10055
2.990105579207255 0.015454147975836389 0.04839773282068538 2.4726636761338223e-06 0.014700461918662587 0 7589
1.489650849941555 0.004905886958568221 0.009761550422344374 7.849419133709155e-07 0.004666630895760686 0 9570
1.3908166557887087 0.018777402275754997 0.0263856540485713 3.0043843641207996e-06 0.017861643845894726 0 10042
1.302268150880252 0.012950549628696115 0.01827129781817505 2.0720879405913784e-06 0.012318961999074144 0 9882
1.417618973906856 0.0009295586545179854 0.002929493631596303 1.487293847228777e-07 0.0008842248452176685 8492 1564
1.2630861547705143 0.01684898966039948 0.02193289838295978 2.695838345663917e-06 0.016027278324105547 0 8166
2.535627389715568 0.00337331909917036 0.01255327522964017 5.397310558672577e-07 0.0032088051074952418 0 7258
2.1535129100724104 0.007770374871600738 0.020130113400971154 1.2432599794561181e-06 0.007391420094611667 0 8355
2.27213889183382 0.012367212491551392 0.030718546828248667 1.978753998648223e-06 0.011764073733234728 0 8561
1.0709895291926534 0.0041821910459445 0.006221065206169747 6.691505673511201e-07 0.003978229036217794 0 9890
1.7688926424761096 0.018193803159317297 0.03270267678985784 2.911008505490768e-06 0.017306506377276487 0 10079
2.3435759346916756 0.0022909106050345417 0.008774728262964557 3.665456968055267e-07 0.002179184783336326 0 8723
1.4150044348327155 0.007537007127408141 0.012914716241180273 1.2059211403853028e-06 0.007169433502926935 0 10105
2.358442476174301 0.005992849607008137 0.01801378608558895 9.58855937121302e-07 0.0057005832718725 0 7775
1.281758386336529 0.01726317103192891 0.022702186830054517 2.762107365108626e-06 0.016421260411575392 0 8750
