#volt mean standard_deviation spread
#volt mean standard_deviation spread
0.023345954332985617 0.0006190374999745264 0.00016026350398139376 0.25889143062898234
0.02194874024797044 0.0005934332552283852 0.00015399346094080294 0.2594958398169613
0.03028676034358731 0.0007006775530858139 0.0001875539160840092 0.26767507430202914
0.020696438628583162 0.000568278594241304 0.00015288345173789325 0.26902905245270503
0.030650408433389755 0.0007067934180773449 0.00018552615352029412 0.2624899281390759
0.021557031647767906 0.0005861159042483621 0.0001537836006159256 0.26237745725930856
0.028092845900071686 0.0006938730131553262 0.0001733409296713174 0.24981650299824293
0.03132836855510424 0.0007090810161793095 0.0001909873387857654 0.2693448765767963
0.025565999114287082 0.0006536758330536001 0.00016911313124005212 0.25871100427570065
0.026923456143643505 0.0006769327803067361 0.00017156373702299242 0.25344279670612546
0.025626482241961547 0.000657025174927783 0.00016853393108473417 0.2565106140769394
0.02284822829454128 0.0006138265262457457 0.00015625791630737595 0.2545636423747807
0.027677175735824885 0.0006856260804301278 0.00016995925643614266 0.24788913561969325
0.02419513509055799 0.00063560230670123 0.0001600754675264364 0.2518484685136317
0.029248372797472926 0.0007009127985423281 0.00017843822532169604 0.2545797789579386
0.02040069433916493 0.000562363152867599 0.00015058835630086054 0.2677777794170568
0.021891359739838353 0.0005901595087634728 0.00015483624383224004 0.2623633806335841
0.024130993733820598 0.0006360107927543643 0.00015839441276278726 0.24904359260450673
0.03175502262697398 0.000710561509157214 0.0001918253017517709 0.269962978967566
0.023772934746788762 0.0006325657035035911 0.0001579438229147671 0.24968761670125933
0.020435946695490256 0.0005630841052920071 0.00015021086296800772 0.2667645233745509
0.02590817634377719 0.0006636264430203367 0.00016623336507433402 0.25049237688263704
0.028147165963461146 0.0006913716769400784 0.00017768735819679693 0.2570069965596771
0.027100798701494025 0.0006792052917998078 0.00016987504668582675 0.2501085441128991
0.03144307212535291 0.0007072821717272243 0.00019780866902834195 0.2796743321626242
0.022345644879270717 0.0006017471453544182 0.000157637266452096 0.26196595641388626
0.021596317405172923 0.0005842200530925756 0.00015886451555482172 0.27192581753034767
0.023610708859692 0.0006252744679422213 0.00016187973952036113 0.25889389031525223
0.02913338601131655 0.0007018263871938539 0.00017884272097488525 0.2548247319254562
0.025229582465670457 0.0006583573951346663 0.0001590729724099889 0.24162100036478013
0.02040069433916493 0.000562363152867599 0.00015058835630086054 0.2677777794170568
0.02040070433916493 0.000562376882758055 0.00015059910340067256 0.2677903520181912
0.014495338968710789 0.0004307174753807364 0.00013778455864741268 0.3198954454439464
0.018547402203497675 0.0005205907641580925 0.0001509503295586004 0.28995967648930465
0.012285714262871852 0.00037395421747167415 0.0001318152003060251 0.35249020908825474
0.015196576090584255 0.0004474029128731161 0.00014022202370808117 0.31341330079325674
0.011380383535292568 0.00034962834908938825 0.00012976606499286308 0.3711542995035744
0.010101980727778431 0.00031476332081103835 0.00012336915743259584 0.3919426098146231
0.01779964197305833 0.0005049975573579756 0.00014847384167414928 0.29400902937219797
0.013655081398973585 0.0004101720431047874 0.0001347502837170492 0.3285213753162214
0.019660078462749433 0.0005448854341365344 0.00015023465314703308 0.2757178734004993
0.012788159403019835 0.0003859924370066315 0.0001356065744891303 0.3513192526277413
0.010994505980602927 0.0003385888951501656 0.00012698017498015366 0.3750275830039772
0.018804837016249153 0.0005258223157271212 0.00014905106116058106 0.28346279095148186
0.01700756326125127 0.000486021709537768 0.0001465612271213156 0.3015528406348411
0.01597461739467728 0.00046464585003925493 0.00014343221467288941 0.30869147902810656
0.016086908725088247 0.0004677567935564826 0.00014114053916934092 0.3017391540082419
