#BLTrackFile NTuple/Z880
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-0.022626 0.229745 880 0.00490151 -0.0435819 11.4762 46.2665 -13 1 0 0 1
-0.273213 -0.0619103 880 0.0273003 0.0362311 12.5595 47.4407 -13 2 0 0 1
-0.038994 0.0190189 880 0.0502334 0.0470694 9.8923 33.9667 -13 3 0 0 1
-0.0635079 0.35536 880 0.144692 0.0328927 11.0947 32.3224 -13 4 0 0 1
-0.0696215 -0.417159 880 -0.0391807 0.0385053 6.81343 52.5428 -13 5 0 0 1
-0.120462 -0.119236 880 -0.0269983 -0.027195 7.53358 62.9237 -13 6 0 0 1
-0.114976 0.190686 880 -0.0103426 0.0423911 12.021 39.5008 -13 7 0 0 1
-0.359407 0.444865 880 0.0453858 0.0482473 3.29292 89.3369 -13 13 0 0 1
0.296463 -0.0428388 880 0.0063781 -0.0899528 10.4308 31.5605 -13 22 0 0 1
-0.259068 0.235424 880 0.0272147 0.0376015 11.5631 54.9289 -13 28 0 0 1
-0.115033 0.160972 880 0.0316063 0.0020129 9.74743 59.5525 -13 57 0 0 1
-0.0375844 0.0763052 880 -0.00594927 -0.0127667 14.0077 50.8012 -13 63 0 0 1
-0.0830578 0.140006 880 0.0172055 0.00974448 11.5122 39.8684 -13 67 0 0 1
-0.0308665 -0.164162 880 -0.0603223 -0.00508528 5.95336 73.1124 -13 73 0 0 1
0.284663 -0.142602 880 -0.033871 -0.0239615 10.269 58.4599 -13 80 0 0 1
0.196721 -0.0271837 880 0.0150004 0.0244008 8.46329 45.3163 -13 88 0 0 1
0.276228 0.389904 880 0.060345 -0.032919 8.77041 42.4528 -13 105 0 0 1
0.445066 0.109204 880 -0.0435367 -0.150286 5.72544 58.719 -13 118 0 0 1
-0.444688 0.65055 880 0.132332 0.186575 7.45976 55.7788 -13 120 0 0 1
-0.24453 -0.250496 880 -0.0854717 0.00113384 9.01472 41.2739 -13 122 0 0 1
-0.0986345 -0.13549 880 0.0524662 0.082896 11.7053 52.0362 -13 126 0 0 1
0.277139 0.293224 880 0.0325082 -0.0288584 9.14665 42.5777 -13 131 0 0 1
-0.187051 0.201956 880 0.0493383 0.00345718 12.9685 36.3357 -13 136 0 0 1
-0.13136 -0.381984 880 -0.0713066 -0.0523774 13.7387 34.8068 -13 142 0 0 1
0.683356 -0.0764559 880 0.0101974 -0.12843 6.92605 53.3421 -13 149 0 0 1
0.137772 0.275431 880 0.0614694 -0.0369449 13.2171 33.2386 -13 157 0 0 1
-0.0310593 -0.259466 880 -0.0406349 0.0194177 14.33 45.1416 -13 159 0 0 1
-0.185251 0.0422592 880 0.0449439 0.042175 12.3286 50.3673 -13 165 0 0 1
0.0291625 0.106288 880 -0.000940565 -0.0257731 14.4999 43.9886 -13 171 0 0 1
-0.688279 -0.639914 880 -0.170508 0.126054 2.79402 98.3708 -13 177 0 0 1
-0.102733 -0.359175 880 -0.0496638 -0.0311388 9.21852 51.5892 -13 182 0 0 1
-0.109013 -0.501048 880 -0.0613176 -0.00516168 10.8563 51.0364 -13 195 0 0 1
0.0610618 0.4643 880 0.0748558 -0.0313914 12.3088 30.274 -13 198 0 0 1
-0.153182 -0.0260712 880 -0.0170029 0.0342292 13.4916 36.8131 -13 228 0 0 1
-0.256546 -0.133779 880 -0.0277283 0.0192416 10.9429 56.7562 -13 233 0 0 1
-0.0968133 -0.262597 880 -0.0229433 0.0624998 9.45707 38.2335 -13 238 0 0 1
0.227094 -0.128341 880 -0.0122157 -0.069721 13.7875 50.8625 -13 243 0 0 1
-0.0200524 -0.19017 880 -0.0251909 -0.0292795 11.8089 54.2136 -13 248 0 0 1
-0.127955 0.127072 880 0.00882306 0.0449002 12.9668 32.0147 -13 252 0 0 1
-0.161673 -0.21642 880 -0.0546156 0.0548651 14.2028 46.0943 -13 260 0 0 1
0.0568074 -0.419529 880 -0.00915925 -0.0507684 2.7322 117.304 -13 264 0 0 1
0.415365 0.0466069 880 0.044268 -0.0399219 2.5097 125.814 -13 270 0 0 1
0.0708781 0.00958499 880 0.00380102 0.0519505 11.5081 33.1711 -13 276 0 0 1
-0.753267 0.20982 880 -0.0492054 0.0892716 9.51824 56.3487 -13 282 0 0 1
0.0450083 -0.0765392 880 -0.0116967 -0.0272966 9.07663 43.2156 -13 290 0 0 1
0.0426919 -0.00959644 880 -0.0720646 -0.0149758 13.7706 52.5796 -13 294 0 0 1
0.214815 -0.0618704 880 0.00705137 -0.0243435 12.1776 38.7493 -13 299 0 0 1
-0.0376431 0.120812 880 0.0379824 0.0248492 7.66059 57.9595 -13 304 0 0 1
0.0474587 -0.216852 880 -0.040643 -0.0457163 9.53962 53.106 -13 309 0 0 1
0.136393 0.276734 880 0.0276157 -0.0427063 13.0398 26.2263 -13 313 0 0 1
0.215258 -0.11044 880 -0.0107766 0.0114807 9.82831 37.5304 -13 321 0 0 1
-0.640354 0.0210321 880 -0.0625817 0.0730163 4.8094 68.6991 -13 374 0 0 1
0.184193 -0.160069 880 -0.0408987 -0.0929843 13.3556 45.7893 -13 375 0 0 1
-0.667371 -0.549106 880 -0.0212339 -0.0559269 6.48734 60.5921 -13 376 0 0 1
-0.402585 0.432857 880 0.0832308 0.0547117 10.509 40.1981 -13 377 0 0 1
-nan -nan -nan -nan -nan -nan -nan -13 378 0 0 1
-0.133464 0.0393247 880 0.0627949 -0.00135389 7.35783 45.4861 -13 379 0 0 1
0.263911 -0.202399 880 -0.0656794 -0.0231865 14.4392 37.3286 -13 972 0 0 1
-0.0751606 -0.0793403 880 0.0245358 0.0305697 13.7558 51.751 -13 973 0 0 1
-0.108039 -0.287889 880 -0.00797731 -0.00292345 14.5505 41.7559 -13 974 0 0 1
0.161004 0.166133 880 0.0268272 -0.0341072 10.2511 50.7806 -13 975 0 0 1
0.447486 0.209593 880 0.0336243 0.000730212 6.61483 53.1905 -13 976 0 0 1
-0.212026 -0.165258 880 -0.0516719 0.044993 8.95553 52.4214 -13 978 0 0 1
0.160467 0.167592 880 0.0440086 -0.0352017 13.713 41.9592 -13 979 0 0 1
-0.264672 -0.0279911 880 -0.035273 0.0763744 12.0676 30.1463 -13 980 0 0 1
0.141389 0.0711447 880 0.0179036 -0.0242734 9.64714 33.4798 -13 981 0 0 1
-0.277262 -0.077018 880 -0.0240223 0.0444623 13.6039 36.2395 -13 982 0 0 1
-0.371179 0.784898 880 -0.069228 -0.167724 5.43348 79.2576 -13 983 0 0 1
-0.00703215 0.0542968 880 -0.00620816 -0.136681 10.037 34.0508 -13 984 0 0 1
-0.178707 -0.316057 880 -0.077062 0.0017976 11.1966 43.5649 -13 985 0 0 1
0.568323 0.309919 880 0.0546159 -0.119806 8.36756 56.3125 -13 986 0 0 1
-0.0647321 0.20216 880 0.017541 0.0126817 14.2245 47.0701 -13 987 0 0 1
0.378399 0.196478 880 0.0583657 -0.0713301 6.55999 69.1487 -13 988 0 0 1
0.343322 0.94406 880 0.0245492 -0.0200404 0.87556 149.889 -13 989 0 0 1
0.203985 0.131014 880 0.0332779 -0.0798275 14.4537 30.3167 -13 990 0 0 1
0.0490301 0.00232451 880 -0.0704389 0.0155808 10.8142 49.3126 -13 991 0 0 1
-0.125929 0.223454 880 -0.0291296 0.0388758 13.0709 49.8199 -13 992 0 0 1
0.245862 0.0773065 880 0.0453245 -0.0491947 11.2548 57.1707 -13 993 0 0 1
-0.00168141 -0.251342 880 0.0298583 -0.030646 12.7912 49.5289 -13 994 0 0 1
0.00440035 0.251206 880 -0.0384722 0.0814561 13.8989 34.8981 -13 995 0 0 1
-0.163692 0.0993319 880 0.020047 0.0203092 13.0248 49.707 -13 996 0 0 1
-0.0203929 -0.151084 880 -0.0796145 0.0128828 14.5009 30.8164 -13 997 0 0 1
0.103381 -0.115406 880 -0.0145533 -0.0345615 10.2393 56.0292 -13 998 0 0 1
-0.140985 -0.063407 880 -0.0253279 0.00381938 7.28904 47.6464 -13 999 0 0 1
-0.0364382 1.11091 880 0.120581 -0.0396976 8.38699 59.1398 -13 1000 0 0 1
-0.00647552 -0.00881886 880 -0.0207646 -0.0150354 11.7982 30.5577 -13 12 0 0 1
0.220642 0.0854214 880 -0.0116923 -0.00193808 8.40026 39.9067 -13 16 0 0 1
-0.030177 0.0313323 880 -0.00298797 0.0313574 13.6743 44.6204 -13 34 0 0 1
-0.527441 0.111296 880 0.0393435 0.141128 10.7741 53.7213 -13 45 0 0 1
-0.0255527 0.207438 880 0.00181323 0.00584201 13.2515 30.2817 -13 49 0 0 1
0.16203 -0.391655 880 0.084329 0.0270405 14.0836 31.4276 -13 56 0 0 1
-0.116825 0.141333 880 0.054142 0.0157974 11.1534 33.4384 -13 70 0 0 1
-0.0358773 1.36578 880 0.179093 0.0275377 8.13477 64.3806 -13 77 0 0 1
-0.0205466 -0.0644452 880 0.0780456 -0.0430896 9.88347 42.5937 -13 89 0 0 1
-0.0749317 -0.00445334 880 0.0140653 0.0300884 14.1389 47.5701 -13 140 0 0 1
0.0301991 -0.217465 880 -0.0730351 -0.022535 11.8833 53.227 -13 452 0 0 1
-0.359864 0.180985 880 0.0327705 0.0896264 12.9164 52.4309 -13 453 0 0 1
-0.171601 0.137817 880 0.0453672 0.0402151 13.9993 26.6679 -13 456 0 0 1
0.00389416 -0.110375 880 -0.0373367 -0.0112468 9.41186 35.1414 -13 457 0 0 1
0.234836 0.242854 880 -0.036423 0.0615141 7.95643 48.2189 -13 459 0 0 1
-0.185468 -0.131989 880 -0.0198401 -0.00832875 13.4472 49.6835 -13 461 0 0 1
-nan -nan -nan -nan -nan -nan -nan -13 471 0 0 1
-0.0424368 -0.191368 880 -0.045033 0.0138477 8.96885 49.6219 -13 481 0 0 1
-0.246363 -0.161884 880 0.0174462 0.0306194 11.9564 48.7459 -13 329 0 0 1
-0.344004 0.325445 880 0.0219203 0.086011 4.61174 70.6713 -13 332 0 0 1
0.752808 -0.0850287 880 -0.0430712 -0.199436 12.4436 53.0873 -13 341 0 0 1
-0.0344811 0.178885 880 0.0161875 -0.0283173 13.4403 38.8144 -13 346 0 0 1
-0.0902076 0.212476 880 0.0537231 0.0754579 13.7858 49.4931 -13 348 0 0 1
0.151478 -0.25074 880 -0.161365 -0.0569714 7.0316 58.256 -13 349 0 0 1
0.343692 0.228028 880 0.0823736 -0.0842788 7.73931 63.6092 -13 350 0 0 1
-0.47529 -0.122769 880 0.0194111 0.0385806 4.25516 76.9902 -13 351 0 0 1
0.479965 1.22927 880 0.148908 -0.0451663 4.01777 84.7821 -13 352 0 0 1
-0.189 2.58041 880 0.476751 -0.313477 2.50193 116.1 -13 355 0 0 1
-0.237989 -0.41881 880 -0.063906 -0.106629 9.73522 60.1973 -13 356 0 0 1
-0.0595888 0.0426741 880 0.03003 -0.0165107 10.655 56.9938 -13 357 0 0 1
-0.0190767 -0.0997072 880 0.0249476 -0.0132713 10.9245 46.432 -13 358 0 0 1
0.537567 -0.140011 880 -0.0283086 -0.0889922 11.7712 33.1442 -13 359 0 0 1
0.0323495 -0.0286819 880 -0.0542894 0.0587596 13.4829 45.1588 -13 360 0 0 1
0.497564 0.605394 880 0.101558 -0.094371 3.52635 86.5983 -13 361 0 0 1
-0.761671 0.184591 880 -0.00370486 0.154594 8.70919 36.985 -13 362 0 0 1
0.370716 -0.275237 880 -0.021384 -0.0703919 12.1554 54.5308 -13 363 0 0 1
0.240165 0.0245007 880 -0.00373632 -0.00340717 14.4367 26.8828 -13 364 0 0 1
0.608626 0.173509 880 0.0268782 -0.0735255 11.7957 31.6083 -13 365 0 0 1
-0.196517 0.87348 880 0.134493 0.0732213 7.85119 40.8273 -13 366 0 0 1
0.136568 -0.269906 880 -0.0709629 -0.039362 11.6905 51.7081 -13 367 0 0 1
-0.304974 -0.202224 880 0.0784553 0.0727824 5.99472 70.9558 -13 368 0 0 1
0.0301267 0.579686 880 0.190567 -0.0653007 6.39768 52.4781 -13 370 0 0 1
0.0138085 0.354437 880 0.132179 0.131967 11.584 54.0934 -13 458 0 0 1
0.0553313 0.932506 880 0.251633 0.0997237 3.39737 108.505 -13 464 0 0 1
-0.62603 0.546507 880 0.0953268 0.0579851 6.33281 51.5555 -13 470 0 0 1
-0.0492669 -0.25703 880 0.0128317 0.0460203 10.654 46.9122 -13 480 0 0 1
-0.0785998 -0.098178 880 -0.0120804 0.0420048 11.3496 31.6335 -13 485 0 0 1
-0.443892 -0.0691541 880 0.105368 -0.019158 3.34955 86.1475 -13 490 0 0 1
-0.345199 0.0955074 880 -0.0361713 0.0717191 13.9253 27.191 -13 492 0 0 1
-0.0793278 0.0164723 880 0.00825237 0.00757313 14.4352 23.5878 -13 495 0 0 1
-0.0919252 -0.114757 880 -0.0147067 -0.00290876 11.1716 45.3717 -13 504 0 0 1
0.345418 0.125494 880 0.0299855 -0.0223104 11.4023 53.3917 -13 508 0 0 1
0.858991 0.135079 880 0.0407601 -0.09677 8.10519 59.0566 -13 509 0 0 1
-0.110301 -0.0154405 880 -0.078229 0.0864046 10.139 54.7887 -13 515 0 0 1
0.329997 -0.0519127 880 -0.0195133 -0.0668126 11.6528 46.0698 -13 519 0 0 1
-nan -nan -nan -nan -nan -nan -nan -13 521 0 0 1
0.213589 -0.346223 880 -0.0327499 -0.0388602 9.65508 39.8548 -13 525 0 0 1
0.118038 0.266813 880 0.0877201 0.000824193 14.009 27.8875 -13 99 0 0 1
0.0483867 0.0189014 880 -0.0469907 -0.0417875 12.9788 39.6888 -13 124 0 0 1
-0.807465 -0.297646 880 0.0057622 0.230524 7.13328 62.2677 -13 134 0 0 1
-0.375307 0.488012 880 0.123473 0.0882509 9.80994 57.3581 -13 145 0 0 1
-0.0329557 -0.140173 880 -0.0449649 -0.0258071 13.6864 46.9005 -13 153 0 0 1
-0.12749 0.0527912 880 -0.0060367 0.018841 14.0993 29.5263 -13 161 0 0 1
0.208778 -0.250038 880 -0.0532816 -0.0560557 11.3409 28.8446 -13 168 0 0 1
-0.183337 0.0952974 880 -0.0173968 0.0335624 10.6521 32.2191 -13 175 0 0 1
0.247716 0.248465 880 0.0218187 -0.0495169 11.8607 55.8462 -13 186 0 0 1
-0.112599 -0.154752 880 0.0181878 0.044642 14.4495 42.773 -13 203 0 0 1
-2.01726 -4.0693 880 -0.234018 1.22672 5.99189 79.7629 -13 224 0 0 1
-0.459897 0.276326 880 0.0892234 0.0286461 6.20729 68.7468 -13 232 0 0 1
0.0845536 0.0610635 880 -0.0673966 -0.00702312 8.36147 52.516 -13 237 0 0 1
0.11701 0.0756811 880 0.00841 -0.0147714 12.0174 33.9149 -13 255 0 0 1
-0.138843 -0.294802 880 -0.0301962 0.0566936 10.8586 57.2251 -13 287 0 0 1
-0.551405 -0.0561872 880 -0.00392631 0.0808069 9.60012 48.0034 -13 306 0 0 1
-0.102742 -0.13846 880 -0.11185 0.103424 11.4302 54.5104 -13 325 0 0 1
0.583756 -0.554904 880 -0.00562444 -0.154424 9.81547 38.7754 -13 414 0 0 1
