#BLTrackFile NTuple/Z720
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-0.113597 0.223516 720 -0.00258623 0.0265361 11.497 41.3278 -13 1 0 0 1
0.0256551 -0.125288 720 -0.00363836 -0.0474369 12.5643 42.9202 -13 2 0 0 1
0.33553 0.0771703 720 0.069722 -0.0598638 9.90182 28.2435 -13 3 0 0 1
0.379744 -0.0766471 720 0.00553649 -0.134688 11.1004 27.2134 -13 4 0 0 1
0.0975305 -0.350184 720 -0.0627015 -0.0192323 6.84714 44.2701 -13 5 0 0 1
0.00200275 -0.164496 720 -0.00222149 -0.0652402 7.61737 55.4767 -13 6 0 0 1
0.195897 0.121576 720 -0.00330435 -0.0401453 12.03 34.7808 -13 7 0 0 1
-0.259088 0.13023 720 -0.0579892 0.0364728 3.46316 72.6081 -13 13 0 0 1
0.134642 -0.175633 720 -0.0525645 -0.00970237 10.5144 26.163 -13 22 0 0 1
0.111232 0.0728463 720 -0.00780652 -0.037261 11.5674 50.0239 -13 28 0 0 1
0.0238148 -0.0744357 720 -0.0390465 -0.0414078 9.75774 53.7459 -13 57 0 0 1
-0.01951 0.183444 720 0.00523156 -0.00175524 14.0103 46.7407 -13 63 0 0 1
0.105499 -0.0344427 720 -0.036517 -0.0218944 11.5204 34.9433 -13 67 0 0 1
0.17403 0.12273 720 0.0360913 -0.0763687 5.99447 63.6592 -13 73 0 0 1
-0.0136413 -0.13263 720 -0.0389434 0.0363287 10.2767 52.9451 -13 80 0 0 1
0.285281 -0.0956142 720 0.0155137 -0.00125218 8.48097 38.6391 -13 88 0 0 1
0.327521 0.174874 720 0.0230664 -0.0705383 8.78132 36.0061 -13 105 0 0 1
-0.141409 0.688916 720 0.173138 0.0481883 5.78219 48.8981 -13 118 0 0 1
-0.567125 0.610754 720 0.116553 0.192379 7.48415 48.2158 -13 120 0 0 1
-0.416907 0.0207875 720 -0.0156153 0.0468102 9.02648 34.9997 -13 122 0 0 1
0.442051 -0.301084 720 0.0126556 -0.0716601 11.712 47.1907 -13 126 0 0 1
0.142785 0.251499 720 0.0102192 -0.023166 9.16049 36.3942 -13 131 0 0 1
-0.0380487 -0.0561399 720 -0.0397097 -0.0274939 12.9721 31.9556 -13 136 0 0 1
-0.424599 0.119892 720 0.0487188 0.0500082 13.7428 30.6686 -13 142 0 0 1
0.203585 0.0498407 720 0.0860864 -0.0202944 6.96541 45.2076 -13 149 0 0 1
0.0375604 -0.128219 720 -0.0484611 0.00395475 13.2264 28.941 -13 157 0 0 1
0.0890498 2.25179e-05 720 0.0351553 -0.00524804 14.3321 41.1707 -13 159 0 0 1
0.14109 -0.239872 720 -0.0161907 -0.0409863 12.3357 45.7639 -13 165 0 0 1
-0.207454 0.0953963 720 -0.000707318 0.0373153 14.5029 40.0636 -13 171 0 0 1
0.109793 0.483832 720 0.162427 -0.0388749 3.08234 79.3438 -13 177 0 0 1
-0.105838 -0.21271 720 -0.033196 0.00314934 9.23186 45.4542 -13 182 0 0 1
-0.476707 -0.255725 720 0.00944552 0.0681244 10.8633 45.8173 -13 195 0 0 1
0.0418541 -0.022749 720 -0.0737233 -0.0180501 12.3156 25.663 -13 198 0 0 1
