#BLTrackFile NTuple/Z380
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-0.0215069 0.0427313 380 -0.000669459 -0.0174341 11.5251 30.8506 -13 1 0 0 1
0.00654676 -0.0530359 380 -0.0016814 -0.0375909 12.5795 33.3188 -13 2 0 0 1
0.189604 0.140944 380 0.0108465 -0.0527855 9.86567 16.2366 -13 3 0 0 1
-3.64814 1.09839 380 0.0474818 0.00758233 0.0725772 11.1027 11 3 1001 0 1
-0.0259358 0.0311162 380 -0.00240895 0.00560095 11.1511 16.3717 -13 4 0 0 1
-0.181822 0.155392 380 0.0217979 0.06364 6.88179 26.8395 -13 5 0 0 1
-0.141725 0.0545524 380 -0.0520609 0.0576062 7.6665 39.7323 -13 6 0 0 1
0.0441872 -0.0216378 380 0.0118949 -0.0265119 12.0371 24.7669 -13 7 0 0 1
-0.137138 -0.192044 380 -0.0132387 -0.00184944 5.16407 40.7319 -13 8 0 0 1
0.0205787 -0.0960808 380 -0.043092 0.00857847 13.6357 33.425 -13 9 0 0 1
-0.0165276 0.0481959 380 0.00650935 -0.0178754 13.2409 15.2379 -13 10 0 0 1
0.0115477 -0.0708103 380 -0.030041 -0.0123194 10.6401 15.5233 -13 11 0 0 1
-0.0363419 0.198148 380 0.0796182 -0.120518 11.82 15.5453 -13 12 0 0 1
0.13953 -0.198367 380 -0.0205969 0.0454175 3.7848 40.442 -13 13 0 0 1
0.0587688 -0.0893635 380 -0.00541644 -0.0238279 10.3245 16.1514 -13 14 0 0 1
-1.36984 0.975364 380 -0.0198995 0.00179827 0.0957606 11.5467 11 14 1002 0 1
0.177757 0.0700683 380 -0.0345951 -0.0686762 5.29669 44.8385 -13 15 0 0 1
0.201423 0.0680454 380 0.0679843 -0.113855 8.43268 18.9199 -13 16 0 0 1
0.0223526 -0.0278632 380 0.00042707 -0.00119092 14.5154 16.522 -13 17 0 0 1
-0.0366569 -0.135021 380 -0.034274 0.0126637 13.0929 39.4101 -13 18 0 0 1
0.0606791 -0.0479284 380 -0.0257262 0.00590189 8.27647 34.0861 -13 19 0 0 1
-0.24631 -2.12831 380 -0.20704 -0.192885 2.04703 70.7502 -13 20 0 0 1
-0.041088 0.00658667 380 -0.0245974 0.0283135 14.4273 32.2992 -13 21 0 0 1
-0.180854 0.00415647 380 -0.0102564 0.0211751 10.4664 14.7831 -13 22 0 0 1
2.49229 -3.9802 380 0.0449579 -0.0033913 0.0566474 14.1281 11 22 1002 0 1
0.00240254 0.0573051 380 -0.00113068 -0.0812946 11.783 41.0855 -13 23 0 0 1
0.0164052 0.17402 380 0.0456445 0.0120963 8.31311 43.5221 -13 24 0 0 1
-0.00113794 0.00367534 380 0.00153766 0.0257214 14.3696 23.7158 -13 25 0 0 1
0.129548 0.289304 380 0.0649764 0.0483232 8.94864 30.8422 -13 26 0 0 1
-0.128556 -0.0714353 380 -0.00800738 0.034749 8.4679 26.4328 -13 27 0 0 1
0.028024 -0.0628394 380 -0.0290049 -0.0208041 11.5759 39.6116 -13 28 0 0 1
0.00835003 0.1959 380 0.0423526 -0.00579278 7.03272 40.8371 -13 29 0 0 1
-0.256043 -0.0810142 380 -0.149681 0.0766245 13.619 12.4464 -13 30 0 0 1
0.0205383 -0.003208 380 -0.0294345 0.0199994 10.3595 17.4975 -13 31 0 0 1
-0.0949364 -0.0389784 380 0.0233051 0.0349271 8.51153 21.6352 -13 32 0 0 1
0.67521 -0.50152 380 -0.14546 -0.161214 3.4544 62.3703 -13 33 0 0 1
0.165767 0.0481916 380 0.0581895 -0.056611 13.6461 31.6689 -13 34 0 0 1
3.22758 1.96006 380 0.00658802 0.0416309 0.050148 35.6384 11 34 1001 0 1
0.194489 0.206325 380 -0.0500753 -0.0525532 5.17546 52.6301 -13 35 0 0 1
0.135326 0.00706155 380 -0.0300389 -0.0348116 8.59966 40.1456 -13 36 0 0 1
-0.118987 -0.00645097 380 -0.0151606 0.0429053 10.4045 41.3419 -13 37 0 0 1
0.0225941 0.0608261 380 0.00601741 0.001391 11.8533 35.113 -13 38 0 0 1
0.0207121 0.025725 380 0.0357999 0.000234027 9.51907 24.7112 -13 39 0 0 1
0.0376262 -0.00310875 380 -0.00928234 -0.0292844 10.9409 33.2286 -13 40 0 0 1
-0.194108 0.354058 380 0.145268 0.0133622 8.90167 18.5765 -13 41 0 0 1
-0.0591112 0.00719265 380 -0.0141461 0.0451479 9.92524 35.5433 -13 42 0 0 1
-0.0199691 0.0196689 380 0.0152478 0.027934 14.4195 21.5133 -13 43 0 0 1
-0.126709 -0.169335 380 -0.0111996 -0.0223659 11.301 31.0969 -13 44 0 0 1
0.178671 0.0256633 380 -3.95673e-05 -0.0615713 10.8649 37.3415 -13 45 0 0 1
-0.128084 -0.0780558 380 -0.0247261 0.013994 5.03854 30.9784 -13 46 0 0 1
0.0254529 0.0132758 380 0.0255444 -0.00879344 11.4214 20.2519 -13 47 0 0 1
0.545999 0.557762 380 0.0475525 -0.189349 6.69016 30.4273 -13 48 0 0 1
0.05171 0.131294 380 0.0259597 -0.0215454 13.2748 16.8877 -13 49 0 0 1
0.234664 -0.172814 380 0.0588425 -0.0256088 4.4049 57.646 -13 50 0 0 1
-0.00937742 -0.00144477 380 -0.00883187 -0.0545347 8.40037 28.4046 -13 51 0 0 1
0.130218 1.14497 380 0.120935 0.0163267 2.3002 71.1841 -13 52 0 0 1
-0.205537 -0.0157933 380 0.00856249 0.0800564 8.22011 18.181 -13 53 0 0 1
0.415865 -0.235235 380 -0.0958681 -0.0470641 3.09055 45.875 -13 54 0 0 1
-0.046543 0.0389587 380 0.0115282 0.041547 10.4016 32.7746 -13 55 0 0 1
0.0284378 -0.0304654 380 0.000448624 -0.0188093 14.1143 18.8216 -13 56 0 0 1
-0.0278737 0.0435043 380 0.0167857 0.0164964 9.79588 41.4212 -13 57 0 0 1
-0.0777492 0.119274 380 0.0687285 0.0587533 8.25779 23.6625 -13 58 0 0 1
0.496675 0.684808 380 0.0140571 -0.0205082 0.0687097 23.3944 11 58 1001 0 1
0.373554 -0.121576 380 -0.0972032 -0.120165 7.05029 36.5102 -13 59 0 0 1
-0.121726 0.799288 380 -0.0093062 -0.0123108 0.0457539 34.7306 11 59 1002 0 1
-0.0929998 0.0507975 380 -0.000110688 0.0600829 8.24633 38.1606 -13 60 0 0 1
-1.03781 -4.05423 380 0.00847524 0.012972 0.0657356 35.6836 11 60 1001 0 1
0.163663 0.0483654 380 0.0219404 -0.0447718 13.9523 25.442 -13 61 0 0 1
-0.0864252 0.0129729 380 -0.0123584 -0.00124868 9.36725 27.457 -13 62 0 0 1
0.0155025 -0.00186126 380 0.00444918 -0.00465388 14.0093 38.1201 -13 63 0 0 1
-0.0330471 -0.116702 380 -0.0743123 -0.0111309 8.90497 28.1179 -13 64 0 0 1
0.0885075 0.0679692 380 0.0543979 -0.104265 5.12048 31.1865 -13 65 0 0 1
-0.08032 0.141841 380 0.0260045 0.049369 7.41276 31.6611 -13 66 0 0 1
0.00867536 -0.0285656 380 -0.0185447 0.00156992 11.536 24.4837 -13 67 0 0 1
-0.119379 0.137823 380 0.0282792 0.0467363 10.6651 32.4657 -13 68 0 0 1
-0.0638823 -0.0596318 380 0.0359034 -0.0191066 5.44518 38.4614 -13 69 0 0 1
-0.10949 0.0802555 380 -0.000762944 0.047183 11.1623 17.5701 -13 70 0 0 1
0.0518899 -0.00680345 380 -0.0086789 -0.0156475 11.6847 15.7085 -13 71 0 0 1
0.113571 -0.0828753 380 -0.0215408 -0.0500658 10.3769 14.8134 -13 72 0 0 1
0.334586 -0.263332 380 0.00370983 -0.0602291 6.13901 43.7456 -13 73 0 0 1
-0.00639934 0.0245514 380 -0.00629796 0.00486976 10.7445 27.6017 -13 74 0 0 1
0.0763487 0.18104 380 0.000860426 0.0126441 7.82174 45.3524 -13 75 0 0 1
-0.102098 -0.133364 380 -0.0315348 0.0233806 12.4911 36.6711 -13 76 0 0 1
-0.0369037 0.0242029 380 0.0017749 -0.00853783 8.22967 42.7175 -13 77 0 0 1
-0.00148571 0.00449779 380 0.0153298 0.00402748 13.5547 23.8381 -13 78 0 0 1
-0.0434763 0.0104384 380 -0.00680904 0.00824595 12.6867 35.937 -13 79 0 0 1
0.0563619 -0.0211406 380 0.00326958 0.0124073 10.2985 41.2441 -13 80 0 0 1
0.0854539 -0.0108672 380 -0.00704982 -0.0274089 8.69134 38.7963 -13 81 0 0 1
0.0183178 -0.0130261 380 0.00650334 -0.0136521 13.2065 33.6515 -13 82 0 0 1
0.0146828 -0.00732018 380 0.0028299 -0.0160879 9.8671 32.829 -13 83 0 0 1
0.157035 0.0979363 380 0.098196 -0.0200748 6.36381 34.9351 -13 84 0 0 1
-0.0108575 0.0161296 380 -0.0102199 -0.00265101 13.6069 14.0849 -13 85 0 0 1
0.0339604 -0.0102795 380 0.00526308 -0.0246229 7.97853 30.1885 -13 86 0 0 1
0.146816 -0.105756 380 0.131215 -0.0750028 2.37102 77.4964 -13 87 0 0 1
-0.0225462 -0.225925 380 -0.0893929 0.0189579 8.52895 24.5023 -13 88 0 0 1
0.199573 -0.179536 380 -0.0393933 -0.00197807 9.99382 24.7034 -13 89 0 0 1
0.0336693 0.152403 380 0.000962779 0.0387012 6.7049 29.0365 -13 90 0 0 1
0.00667606 0.0891966 380 0.0422409 -0.0661253 7.16805 46.4278 -13 91 0 0 1
-0.00615252 -0.0479344 380 -0.0420971 -0.0412452 6.697 48.0599 -13 92 0 0 1
0.991459 0.442099 380 0.129882 -0.240197 7.70308 43.5938 -13 93 0 0 1
0.0260007 -0.369828 380 -0.0743715 -0.018836 5.80173 32.0416 -13 94 0 0 1
-0.56578 5.17375 380 0.0121085 -0.0242486 0.0415292 30.525 11 94 1002 0 1
-0.0867502 -0.0135473 380 0.0213558 -0.00605561 10.7814 24.6221 -13 95 0 0 1
1.09314 -0.529872 380 0.248825 -0.0486204 2.14092 57.3845 -13 96 0 0 1
0.0347837 -0.0330757 380 0.00321292 -0.0170734 12.8701 25.9041 -13 97 0 0 1
-1.26786 0.98866 380 0.204685 0.493918 9.46673 22.543 -13 98 0 0 1
2.0885 2.89243 380 0.0100723 -0.00824074 0.0881469 19.5136 11 98 1001 0 1
-0.0144419 -0.00867994 380 -0.029812 0.00756721 14.0174 15.2001 -13 99 0 0 1
0.122556 -0.0122387 380 0.0405527 -0.0881263 12.3182 12.2536 -13 100 0 0 1
0.02325 0.0487412 380 -0.0317567 -0.117445 4.76943 44.0076 -13 101 0 0 1
-0.0325568 0.0379691 380 0.0192309 0.0188869 9.97138 37.1521 -13 103 0 0 1
0.0564391 -0.0136589 380 -0.0144627 0.00869177 9.61353 27.3319 -13 104 0 0 1
0.174582 0.0270822 380 0.00369684 -0.0299729 8.83791 22.3253 -13 105 0 0 1
-0.0886272 -0.0834754 380 0.00153675 0.0331476 10.3211 41.4484 -13 106 0 0 1
-0.00919859 0.0413341 380 0.00662705 -0.0134545 13.762 27.8993 -13 107 0 0 1
0.00178961 0.0281733 380 -0.000799876 0.0710512 7.35299 31.2887 -13 108 0 0 1
-0.0315695 0.0422382 380 0.00161506 0.00317596 13.5737 10.9774 -13 109 0 0 1
0.065479 -0.00168277 380 -0.0703838 -0.0505727 5.53539 27.5153 -13 110 0 0 1
0.00510459 0.0698953 380 0.018096 0.000900839 9.85155 17.8066 -13 111 0 0 1
0.187465 0.0476249 380 0.128498 -0.104623 7.68652 21.8141 -13 112 0 0 1
0.0280912 -0.00232127 380 0.0126529 -0.00671295 11.9591 21.8755 -13 113 0 0 1
0.229964 0.21793 380 0.0770426 -0.0859403 8.07984 23.7193 -13 114 0 0 1
-0.141832 1.28242 380 0.406604 -0.0200741 13.2256 30.1563 -13 115 0 0 1
0.0476917 -0.00421714 380 -0.0271548 0.0402226 10.311 42.6282 -13 116 0 0 1
-0.139157 -0.112317 380 -0.0264557 0.0355156 11.5715 17.1041 -13 117 0 0 1
0.183817 -0.133489 380 0.03454 -0.0706523 5.88488 28.2133 -13 118 0 0 1
0.127649 -0.0718294 380 -0.0102847 -0.0424068 10.9828 32.3309 -13 119 0 0 1
0.0256041 -0.115644 380 0.103309 0.0612332 7.52084 32.2034 -13 120 0 0 1
0.114017 0.0801565 380 0.0058187 -0.0486105 7.98187 45.1386 -13 121 0 0 1
0.0748749 0.0641857 380 0.0369059 -0.00328214 8.98965 21.7317 -13 122 0 0 1
0.135008 0.0807912 380 -0.000171768 -0.0415023 0.0343773 21.7568 11 122 1001 0 1
-3.86538 2.17309 380 0.0062728 0.00835252 -0.0314295 30.5078 11 122 1001 0 1
-0.50756 0.0340747 380 0.0142829 0.15859 5.01762 49.0829 -13 123 0 0 1
-0.108827 0.075775 380 0.0328549 0.0225801 12.9982 26.0166 -13 124 0 0 1
-0.098401 -0.109472 380 -0.0625383 0.0178936 11.463 38.6255 -13 125 0 0 1
-0.0659673 0.033623 380 0.0154699 0.0254982 11.7304 36.9085 -13 126 0 0 1
0.00296939 -0.0872543 380 -0.00469578 -0.0277208 9.64458 20.2237 -13 127 0 0 1
-0.0623125 0.237336 380 0.0780658 0.0316265 13.5053 20.0085 -13 128 0 0 1
0.0947267 -0.017267 380 0.0110095 -0.054609 13.4948 23.0777 -13 129 0 0 1
0.0379187 -0.0295789 380 -0.0257345 -0.0115266 10.4631 35.501 -13 130 0 0 1
-0.146988 -0.163554 380 -0.000477437 0.0474333 9.19281 23.2737 -13 131 0 0 1
-0.290791 -0.704233 380 -0.182217 0.114672 13.2437 32.9726 -13 132 0 0 1
-0.0232592 0.12529 380 0.0610067 0.0522639 14.5195 28.611 -13 133 0 0 1
0.164591 -0.0212813 380 0.0393338 -0.0530437 7.27935 37.6115 -13 134 0 0 1
