#BLTrackFile NTuple/Z240
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
0.00591753 -0.0925588 240 0.00962628 0.0125047 11.166 11.9202 -13 4 0 0 1
0.0327339 0.0776491 240 -0.00807703 -0.0104743 13.2431 11.4824 -13 10 0 0 1
-0.0795242 0.0885094 240 -0.0215736 0.0146102 10.4227 11.3183 -13 14 0 0 1
-0.00461683 -0.0607609 240 -0.0120127 0.000500372 8.29075 28.1061 -13 19 0 0 1
-0.0216858 0.084032 240 0.010859 0.0343791 8.49529 20.587 -13 27 0 0 1
-0.0282561 -0.242088 240 -0.0535548 0.0222164 7.13744 29.4679 -13 59 0 0 1
-0.0604286 0.0626739 240 0.0139611 0.00316999 13.9551 21.8748 -13 61 0 0 1
0.0931641 -0.0504804 240 -0.00704722 -0.0168754 10.3817 10.0377 -13 72 0 0 1
-0.0635979 -0.394327 240 -0.0457836 -0.0397759 10.7369 22.9882 -13 74 0 0 1
-0.132024 0.0174083 240 0.0257347 0.00628718 13.5606 20.1663 -13 78 0 0 1
0.038187 0.0458894 240 0.0170491 -0.0050618 13.2096 29.8871 -13 82 0 0 1
-0.172491 0.0401081 240 0.00228528 0.00817795 9.87131 27.8078 -13 83 0 0 1
-0.0476424 -0.103144 240 -0.0143546 -0.000851137 13.6115 10.4305 -13 85 0 0 1
-0.233515 -0.099505 240 0.00649794 0.058016 7.96139 24.0105 -13 86 0 0 1
-0.133065 -0.0018177 240 -0.00945462 -0.00106172 2.68936 57.7516 -13 87 0 0 1
-0.168492 0.0142704 240 0.000182931 0.0367821 8.5947 34.4108 -13 36 0 0 1
-0.0149225 0.0248274 240 0.00300499 0.0109798 11.8602 30.9241 -13 38 0 0 1
0.585682 0.566819 240 0.155247 -0.0470789 6.8052 23.0739 -13 48 0 0 1
-0.109694 0.210031 240 0.0509344 0.070013 4.44021 46.4595 -13 50 0 0 1
1.67434 -2.19239 240 -0.00820989 -0.00643264 0.0379951 45.9333 11 50 1014 0 1
0.29959 0.287775 240 0.0607389 -0.067422 5.0993 21.8286 -13 65 0 0 1
-6.064 -8.92842 240 0.00702631 0.00787432 0.0337706 16.82 11 65 1016 0 1
0.0118197 -0.0299268 240 -0.00274125 -0.00457906 11.8254 11.3456 -13 12 0 0 1
0.0110143 -0.0178685 240 -0.00559263 0.0038995 14.5135 13.0918 -13 17 0 0 1
-0.0279427 0.0622386 240 -0.0123161 0.0014144 10.5537 10.0077 -13 22 0 0 1
0.0675796 -0.0117168 240 0.00566956 -0.0221079 11.7824 36.874 -13 23 0 0 1
0.0562137 0.0102033 240 0.00437979 -0.024458 8.33876 37.59 -13 24 0 0 1
0.17126 -0.0453061 240 0.00180884 -0.0276747 7.06691 33.8211 -13 29 0 0 1
0.0474917 0.488925 240 0.130906 0.0781372 3.65085 48.53 -13 33 0 0 1
0.132012 -0.193662 240 -0.0013136 -0.116935 5.2605 43.1694 -13 35 0 0 1
-0.126226 -0.187374 240 -0.0169695 0.0323216 11.3016 26.7089 -13 44 0 0 1
0.0494546 -0.0429947 240 0.00678881 0.000963188 10.414 28.0101 -13 55 0 0 1
-0.0554386 0.253221 240 0.0290439 0.0135193 14.1315 15.295 -13 56 0 0 1
0.219738 -0.405314 240 -0.078875 0.017991 8.27709 32.1867 -13 60 0 0 1
2.10778 1.4665 240 0.0147381 0.040768 0.0355798 32.4628 11 60 1007 0 1
-0.0379024 0.0654052 240 -0.0121707 -0.0111204 9.40791 22.1579 -13 62 0 0 1
-0.0714425 -0.0188774 240 -0.0232798 0.00180455 8.73377 33.0898 -13 81 0 0 1
0.055871 -0.281502 240 -0.0781681 -0.0663853 2.70989 35.7863 -13 96 0 0 1
-0.188054 -0.055968 240 0.0170768 0.0323067 9.58549 17.3094 -13 98 0 0 1
-0.174055 0.0608441 240 0.0045586 0.0474001 6.92396 19.6515 -13 5 0 0 1
-0.0994037 0.0154166 240 0.00789721 0.0179665 10.6563 10.863 -13 11 0 0 1
0.0392083 0.0570896 240 -0.00503643 0.000816415 13.0931 35.6131 -13 18 0 0 1
0.147519 -0.0306137 240 -0.00148084 -0.0314016 14.429 28.8474 -13 21 0 0 1
-0.0547877 0.0887128 240 -0.00599565 -0.00888363 10.3724 12.7167 -13 31 0 0 1
-0.102744 -0.0177873 240 -0.0021774 0.0301983 8.51168 15.8345 -13 32 0 0 1
0.0253933 0.0237218 240 -0.0105607 -0.000554172 13.696 28.0085 -13 34 0 0 1
-0.0201581 0.129275 240 0.0289065 -0.00971254 10.4032 36.5843 -13 37 0 0 1
-0.0824373 -0.199492 240 -0.0239226 0.0124407 9.53132 19.51 -13 39 0 0 1
-0.0170102 -0.00647501 240 0.0100378 0.00230706 8.92589 13.0181 -13 41 0 0 1
-0.216928 -0.126139 240 -0.049188 0.0207795 9.92883 30.5533 -13 42 0 0 1
0.161772 0.0460468 240 -0.0124465 -0.0174174 10.8781 32.7818 -13 45 0 0 1
0.115665 0.0935926 240 0.0134831 -0.0253919 11.4227 15.9086 -13 47 0 0 1
-0.0323986 0.0344569 240 0.00983882 0.00111637 13.2753 13.1418 -13 49 0 0 1
-0.0295037 0.131458 240 0.0237614 0.0259968 8.43848 22.4967 -13 51 0 0 1
-1.43891 -1.41517 240 -0.326423 0.0379557 2.69599 52.2783 -13 52 0 0 1
-0.0419738 -0.0138553 240 0.00488434 0.0328571 8.23709 12.1596 -13 53 0 0 1
-0.11921 -0.0256285 240 -0.0205574 0.0173543 8.33012 17.7165 -13 58 0 0 1
0.0114242 -0.0801801 240 0.00137875 0.00342203 8.93853 22.5492 -13 64 0 0 1
0.0423646 0.184822 240 0.0545293 0.0295575 7.42017 24.993 -13 66 0 0 1
-0.0254856 -0.139074 240 -0.0316448 0.0119116 11.5369 20.1842 -13 67 0 0 1
0.215647 0.25119 240 0.0263332 -0.0378733 10.6416 27.8293 -13 68 0 0 1
-0.0963157 -0.0433298 240 -0.023084 0.0593328 6.72425 40.6971 -13 92 0 0 1
0.0335741 0.0182697 240 0.000186721 -0.0146832 12.8697 22.0434 -13 97 0 0 1
-0.0256262 -0.0241499 240 0.00176685 0.000710807 14.0214 11.6494 -13 99 0 0 1
0.112759 -0.0439825 240 -0.0218136 -0.018262 4.81332 33.5835 -13 101 0 0 1
0.3282 -0.210064 240 -0.0501989 -0.0629786 5.26716 35.5861 -13 15 0 0 1
-3.42999 -2.82622 240 -0.0243723 -0.0136704 0.0244752 34.9185 11 15 1011 0 1
